JPGNumber,RaceNumber,BubbleNumber,Actual,Baseline,CNN
1245,0,0,1,1,1
1245,0,1,1,1,1
1245,0,2,1,1,1
1245,0,3,0,0,0
1245,0,4,0,0,0
1245,0,5,0,0,0
1245,0,6,0,0,0
1247,0,0,1,1,1
1247,0,1,1,1,1
1247,0,2,1,1,1
1247,0,3,0,0,0
1247,0,4,0,0,0
1247,0,5,0,0,0
1247,0,6,0,0,0
1249,0,0,1,1,1
1249,0,1,1,1,1
1249,0,2,0,0,0
1249,0,3,1,1,1
1249,0,4,0,0,0
1249,0,5,0,0,0
1249,0,6,0,0,0
1253,0,0,1,1,1
1253,0,1,1,1,1
1253,0,2,1,1,1
1253,0,3,0,0,0
1253,0,4,0,0,0
1253,0,5,0,0,0
1253,0,6,0,0,0
1255,0,0,0,0,0
1255,0,1,1,1,1
1255,0,2,1,1,1
1255,0,3,0,0,0
1255,0,4,0,0,0
1255,0,5,0,0,0
1255,0,6,0,0,0
1257,0,0,1,1,1
1257,0,1,0,0,0
1257,0,2,1,1,1
1257,0,3,1,1,1
1257,0,4,0,0,0
1257,0,5,0,0,0
1257,0,6,0,0,0
1259,0,0,0,0,0
1259,0,1,1,1,1
1259,0,2,1,1,1
1259,0,3,0,0,0
1259,0,4,0,0,0
1259,0,5,0,0,0
1259,0,6,0,0,0
1261,0,0,1,1,1
1261,0,1,1,1,1
1261,0,2,1,1,1
1261,0,3,0,0,0
1261,0,4,0,0,0
1261,0,5,0,0,0
1261,0,6,0,0,0
1263,0,0,1,1,1
1263,0,1,1,1,1
1263,0,2,0,0,0
1263,0,3,1,1,1
1263,0,4,0,0,0
1263,0,5,0,0,0
1263,0,6,0,0,0
1265,0,0,1,1,1
1265,0,1,0,0,0
1265,0,2,0,0,0
1265,0,3,1,1,1
1265,0,4,0,0,0
1265,0,5,0,0,0
1265,0,6,0,0,0
1267,0,0,1,1,1
1267,0,1,1,1,1
1267,0,2,0,0,0
1267,0,3,1,1,1
1267,0,4,0,0,0
1267,0,5,0,0,0
1267,0,6,0,0,0
1269,0,0,1,1,1
1269,0,1,1,1,1
1269,0,2,0,0,0
1269,0,3,1,1,1
1269,0,4,0,0,0
1269,0,5,0,0,0
1269,0,6,0,0,0
1271,0,0,1,1,1
1271,0,1,1,1,1
1271,0,2,0,0,0
1271,0,3,1,1,1
1271,0,4,0,0,0
1271,0,5,0,0,0
1271,0,6,0,0,0
1273,0,0,1,1,1
1273,0,1,1,1,1
1273,0,2,0,0,0
1273,0,3,1,1,1
1273,0,4,0,0,0
1273,0,5,0,0,0
1273,0,6,0,0,0
1275,0,0,1,1,1
1275,0,1,0,0,0
1275,0,2,0,0,0
1275,0,3,1,1,1
1275,0,4,0,0,0
1275,0,5,0,0,0
1275,0,6,0,0,0
1277,0,0,0,0,0
1277,0,1,1,1,1
1277,0,2,1,1,1
1277,0,3,1,1,1
1277,0,4,0,0,0
1277,0,5,0,0,0
1277,0,6,0,0,0
1279,0,0,0,0,0
1279,0,1,1,1,1
1279,0,2,1,1,1
1279,0,3,1,1,1
1279,0,4,0,0,0
1279,0,5,0,0,0
1279,0,6,0,0,0
1281,0,0,0,0,0
1281,0,1,0,0,0
1281,0,2,0,0,0
1281,0,3,1,1,1
1281,0,4,0,0,0
1281,0,5,0,0,0
1281,0,6,0,0,0
1283,0,0,1,1,1
1283,0,1,1,1,1
1283,0,2,1,1,1
1283,0,3,0,0,0
1283,0,4,0,0,0
1283,0,5,0,0,0
1283,0,6,0,0,0
1285,0,0,1,1,1
1285,0,1,1,1,1
1285,0,2,1,1,1
1285,0,3,0,0,0
1285,0,4,0,0,0
1285,0,5,0,0,0
1285,0,6,0,0,0
1287,0,0,1,1,1
1287,0,1,1,1,1
1287,0,2,1,1,1
1287,0,3,0,0,0
1287,0,4,0,0,0
1287,0,5,0,0,0
1287,0,6,0,0,0
1289,0,0,0,0,0
1289,0,1,1,1,1
1289,0,2,0,0,0
1289,0,3,0,0,0
1289,0,4,0,0,0
1289,0,5,0,0,0
1289,0,6,0,0,0
1291,0,0,1,1,1
1291,0,1,1,1,1
1291,0,2,0,0,0
1291,0,3,1,1,1
1291,0,4,0,0,0
1291,0,5,0,0,0
1291,0,6,0,0,0
1293,0,0,1,1,1
1293,0,1,1,1,1
1293,0,2,0,0,0
1293,0,3,1,1,1
1293,0,4,0,0,0
1293,0,5,0,0,0
1293,0,6,0,0,0
1295,0,0,1,1,1
1295,0,1,1,1,1
1295,0,2,1,1,1
1295,0,3,0,0,0
1295,0,4,0,0,0
1295,0,5,0,0,0
1295,0,6,0,0,0
1297,0,0,1,1,2
1297,0,1,0,1,2
1297,0,2,1,1,2
1297,0,3,0,0,2
1297,0,4,0,0,2
1297,0,5,0,0,2
1297,0,6,0,0,2
1299,0,0,1,1,1
1299,0,1,1,1,1
1299,0,2,1,1,1
1299,0,3,0,0,0
1299,0,4,0,0,0
1299,0,5,0,0,0
1299,0,6,0,0,0
1301,0,0,1,1,1
1301,0,1,1,1,1
1301,0,2,1,1,1
1301,0,3,0,0,0
1301,0,4,0,0,0
1301,0,5,0,0,0
1301,0,6,0,0,0
1303,0,0,0,0,0
1303,0,1,1,1,1
1303,0,2,1,1,1
1303,0,3,1,1,1
1303,0,4,0,0,0
1303,0,5,0,0,0
1303,0,6,0,0,0
1305,0,0,1,1,1
1305,0,1,1,1,1
1305,0,2,0,0,0
1305,0,3,1,1,1
1305,0,4,0,0,0
1305,0,5,0,0,0
1305,0,6,0,0,0
1307,0,0,1,1,1
1307,0,1,1,1,1
1307,0,2,1,1,1
1307,0,3,0,0,0
1307,0,4,0,0,0
1307,0,5,0,0,0
1307,0,6,0,0,0
1309,0,0,1,1,1
1309,0,1,1,1,1
1309,0,2,0,0,0
1309,0,3,1,1,1
1309,0,4,0,0,0
1309,0,5,0,0,0
1309,0,6,0,0,0
1311,0,0,1,1,1
1311,0,1,1,1,1
1311,0,2,1,1,1
1311,0,3,0,0,0
1311,0,4,0,0,0
1311,0,5,0,0,0
1311,0,6,0,0,0
1313,0,0,1,1,1
1313,0,1,1,1,1
1313,0,2,0,0,0
1313,0,3,1,1,1
1313,0,4,0,0,0
1313,0,5,0,0,0
1313,0,6,0,0,0
1315,0,0,1,1,1
1315,0,1,1,1,1
1315,0,2,0,0,0
1315,0,3,1,1,1
