JPGNumber,RaceNumber,BubbleNumber,Actual,Baseline,CNN
733,0,0,0,0,-1
733,0,1,0,0,-1
733,0,2,0,0,-1
733,0,3,0,0,-1
733,0,4,0,0,-1
733,0,5,0,0,-1
733,0,6,0,0,-1
735,0,0,1,1,-1
735,0,1,0,0,-1
735,0,2,1,1,-1
735,0,3,0,0,-1
735,0,4,0,0,-1
735,0,5,0,0,-1
735,0,6,0,0,-1
737,0,0,1,1,-1
737,0,1,1,1,-1
737,0,2,1,1,-1
737,0,3,0,0,-1
737,0,4,0,0,-1
737,0,5,0,0,-1
737,0,6,0,0,-1
739,0,0,0,2,-1
739,0,1,1,2,-1
739,0,2,1,2,-1
739,0,3,1,2,-1
739,0,4,0,2,-1
739,0,5,0,2,-1
739,0,6,0,2,-1
741,0,0,1,1,-1
741,0,1,1,1,-1
741,0,2,0,0,-1
741,0,3,1,1,-1
741,0,4,0,0,-1
741,0,5,0,0,-1
741,0,6,0,0,-1
743,0,0,0,0,-1
743,0,1,0,0,-1
743,0,2,0,0,-1
743,0,3,0,0,-1
743,0,4,0,0,-1
743,0,5,0,0,-1
743,0,6,0,0,-1
745,0,0,0,0,-1
745,0,1,0,0,-1
745,0,2,0,0,-1
745,0,3,0,0,-1
745,0,4,0,0,-1
745,0,5,0,0,-1
745,0,6,0,0,-1
747,0,0,1,1,-1
747,0,1,1,1,-1
747,0,2,0,0,-1
747,0,3,1,1,-1
747,0,4,0,0,-1
747,0,5,0,0,-1
747,0,6,0,0,-1
749,0,0,0,0,-1
749,0,1,0,0,-1
749,0,2,0,0,-1
749,0,3,0,0,-1
749,0,4,0,0,-1
749,0,5,0,0,-1
749,0,6,0,0,-1
751,0,0,0,0,-1
751,0,1,0,0,-1
751,0,2,0,0,-1
751,0,3,0,0,-1
751,0,4,0,0,-1
751,0,5,0,0,-1
751,0,6,0,0,-1
887,0,0,7,0,-1
887,0,1,7,0,-1
887,0,2,7,0,-1
887,0,3,7,0,-1
887,0,4,7,0,-1
887,0,5,7,1,-1
887,0,6,7,1,-1
889,0,0,7,0,-1
889,0,1,7,0,-1
889,0,2,7,0,-1
889,0,3,7,0,-1
889,0,4,7,0,-1
889,0,5,7,1,-1
889,0,6,7,1,-1
933,0,0,7,0,-1
933,0,1,7,0,-1
933,0,2,7,0,-1
933,0,3,7,0,-1
933,0,4,7,0,-1
933,0,5,7,0,-1
933,0,6,7,1,-1
935,0,0,7,0,-1
935,0,1,7,0,-1
935,0,2,7,0,-1
935,0,3,7,0,-1
935,0,4,7,0,-1
935,0,5,7,0,-1
935,0,6,7,0,-1
2337,0,0,1,1,-1
2337,0,1,1,1,-1
2337,0,2,1,1,-1
2337,0,3,0,0,-1
2337,0,4,0,0,-1
2337,0,5,0,0,-1
2337,0,6,0,0,-1
2339,0,0,1,1,-1
2339,0,1,1,1,-1
2339,0,2,1,1,-1
2339,0,3,0,0,-1
2339,0,4,0,0,-1
2339,0,5,0,0,-1
2339,0,6,0,0,-1
2343,0,0,1,1,-1
2343,0,1,1,1,-1
2343,0,2,1,1,-1
2343,0,3,0,0,-1
2343,0,4,0,0,-1
2343,0,5,0,0,-1
2343,0,6,0,0,-1
2345,0,0,1,1,-1
2345,0,1,1,0,-1
2345,0,2,1,1,-1
2345,0,3,0,1,-1
2345,0,4,0,0,-1
2345,0,5,0,0,-1
