JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3,Race 0 Bubble 4,Race 0 Bubble 5,Race 0 Bubble 6
1603,-1,-1,-1,-1,-1,-1,-1
1605,-1,-1,-1,-1,-1,-1,-1
1607,-1,-1,-1,-1,-1,-1,-1
1609,-1,-1,-1,-1,-1,-1,-1
1611,-1,-1,-1,-1,-1,-1,-1
1613,-1,-1,-1,-1,-1,-1,-1
1615,-1,-1,-1,-1,-1,-1,-1
1617,-1,-1,-1,-1,-1,-1,-1
1619,-1,-1,-1,-1,-1,-1,-1
1621,-1,-1,-1,-1,-1,-1,-1
1623,-1,-1,-1,-1,-1,-1,-1
1625,-1,-1,-1,-1,-1,-1,-1
1627,-1,-1,-1,-1,-1,-1,-1
1629,-1,-1,-1,-1,-1,-1,-1
1631,-1,-1,-1,-1,-1,-1,-1
1633,-1,-1,-1,-1,-1,-1,-1
1635,-1,-1,-1,-1,-1,-1,-1
1637,-1,-1,-1,-1,-1,-1,-1
1639,-1,-1,-1,-1,-1,-1,-1
1641,-1,-1,-1,-1,-1,-1,-1
1643,-1,-1,-1,-1,-1,-1,-1
1645,-1,-1,-1,-1,-1,-1,-1
1647,-1,-1,-1,-1,-1,-1,-1
1649,-1,-1,-1,-1,-1,-1,-1
1651,-1,-1,-1,-1,-1,-1,-1
1653,-1,-1,-1,-1,-1,-1,-1
1655,-1,-1,-1,-1,-1,-1,-1
1657,-1,-1,-1,-1,-1,-1,-1
1659,-1,-1,-1,-1,-1,-1,-1
1661,-1,-1,-1,-1,-1,-1,-1
1663,-1,-1,-1,-1,-1,-1,-1
1665,-1,-1,-1,-1,-1,-1,-1
1667,-1,-1,-1,-1,-1,-1,-1
1669,-1,-1,-1,-1,-1,-1,-1
1671,-1,-1,-1,-1,-1,-1,-1
1673,-1,-1,-1,-1,-1,-1,-1
1675,-1,-1,-1,-1,-1,-1,-1
1677,-1,-1,-1,-1,-1,-1,-1
1679,-1,-1,-1,-1,-1,-1,-1
1681,-1,-1,-1,-1,-1,-1,-1
1683,-1,-1,-1,-1,-1,-1,-1
1685,-1,-1,-1,-1,-1,-1,-1
1687,-1,-1,-1,-1,-1,-1,-1
1689,-1,-1,-1,-1,-1,-1,-1
2711,-1,-1,-1,-1,-1,-1,-1
2713,-1,-1,-1,-1,-1,-1,-1
2715,-1,-1,-1,-1,-1,-1,-1
2717,-1,-1,-1,-1,-1,-1,-1
2719,-1,-1,-1,-1,-1,-1,-1
2721,-1,-1,-1,-1,-1,-1,-1
2723,-1,-1,-1,-1,-1,-1,-1
2725,-1,-1,-1,-1,-1,-1,-1
2727,-1,-1,-1,-1,-1,-1,-1
2729,-1,-1,-1,-1,-1,-1,-1
2731,-1,-1,-1,-1,-1,-1,-1
2733,-1,-1,-1,-1,-1,-1,-1
2735,-1,-1,-1,-1,-1,-1,-1
2737,-1,-1,-1,-1,-1,-1,-1
2739,-1,-1,-1,-1,-1,-1,-1
2741,-1,-1,-1,-1,-1,-1,-1
2743,-1,-1,-1,-1,-1,-1,-1
2745,-1,-1,-1,-1,-1,-1,-1
2747,-1,-1,-1,-1,-1,-1,-1
2749,-1,-1,-1,-1,-1,-1,-1
2751,-1,-1,-1,-1,-1,-1,-1
2753,-1,-1,-1,-1,-1,-1,-1
2755,-1,-1,-1,-1,-1,-1,-1
2757,-1,-1,-1,-1,-1,-1,-1
2759,-1,-1,-1,-1,-1,-1,-1
2761,-1,-1,-1,-1,-1,-1,-1
2763,-1,-1,-1,-1,-1,-1,-1
2765,-1,-1,-1,-1,-1,-1,-1
2767,-1,-1,-1,-1,-1,-1,-1
2769,-1,-1,-1,-1,-1,-1,-1
2771,-1,-1,-1,-1,-1,-1,-1
2773,-1,-1,-1,-1,-1,-1,-1
2775,-1,-1,-1,-1,-1,-1,-1
2777,-1,-1,-1,-1,-1,-1,-1
2779,-1,-1,-1,-1,-1,-1,-1
2781,-1,-1,-1,-1,-1,-1,-1
2783,-1,-1,-1,-1,-1,-1,-1
2785,-1,-1,-1,-1,-1,-1,-1
2787,-1,-1,-1,-1,-1,-1,-1
2789,-1,-1,-1,-1,-1,-1,-1
2791,-1,-1,-1,-1,-1,-1,-1
2793,-1,-1,-1,-1,-1,-1,-1
2795,-1,-1,-1,-1,-1,-1,-1
2797,-1,-1,-1,-1,-1,-1,-1
2799,-1,-1,-1,-1,-1,-1,-1
2801,-1,-1,-1,-1,-1,-1,-1
5449,-1,-1,-1,-1,-1,-1,-1
5451,-1,-1,-1,-1,-1,-1,-1
5453,-1,-1,-1,-1,-1,-1,-1
5455,-1,-1,-1,-1,-1,-1,-1
5457,-1,-1,-1,-1,-1,-1,-1
5459,-1,-1,-1,-1,-1,-1,-1
34765,-1,-1,-1,-1,-1,-1,-1
34767,-1,-1,-1,-1,-1,-1,-1
34769,-1,-1,-1,-1,-1,-1,-1
34771,-1,-1,-1,-1,-1,-1,-1
34773,-1,-1,-1,-1,-1,-1,-1
34775,-1,-1,-1,-1,-1,-1,-1
34777,-1,-1,-1,-1,-1,-1,-1
34779,-1,-1,-1,-1,-1,-1,-1
34781,-1,-1,-1,-1,-1,-1,-1
34783,-1,-1,-1,-1,-1,-1,-1
34785,-1,-1,-1,-1,-1,-1,-1
34787,-1,-1,-1,-1,-1,-1,-1
34789,-1,-1,-1,-1,-1,-1,-1
