JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3,Race 0 Bubble 4,Race 0 Bubble 5,Race 0 Bubble 6
733,0,0,0,0,0,0,0
735,5,0,5,0,0,0,0
737,1,1,1,0,0,0,0
739,0,2,2,2,0,0,0
741,1,1,0,1,0,0,0
743,0,0,0,0,0,0,0
745,0,0,0,0,0,0,0
747,1,1,0,1,0,0,0
749,0,0,0,0,0,0,0
751,0,0,0,0,0,0,0
887,7,7,7,7,7,7,7
889,7,7,7,7,7,7,7
933,7,7,7,7,7,7,7
935,7,7,7,7,7,7,7
2337,1,1,1,0,0,0,0
2339,1,4,1,0,0,0,0
2341,1,1,1,0,0,0,0
2343,1,1,1,0,0,0,0
2345,1,0,1,1,0,0,0
2347,1,0,1,1,0,0,0
2349,1,0,1,1,0,0,0
2351,0,0,0,0,0,0,0
2353,0,1,0,0,0,0,0
2355,0,0,0,0,0,0,0
2357,1,1,1,0,0,0,0
2359,1,1,0,1,0,0,0
2361,4,4,4,0,0,0,0
2363,0,0,0,0,0,0,0
2365,1,1,0,1,0,0,0
2367,0,1,0,0,0,0,0
2369,1,1,1,0,0,0,0
2371,0,1,0,0,0,0,0
2373,1,1,0,1,0,0,0
2375,0,0,1,0,0,0,0
2377,0,0,1,0,0,0,0
2379,4,4,4,0,0,0,0
2381,1,1,0,1,0,0,0
2383,0,1,0,0,0,0,0
2385,0,4,4,4,0,0,0
2387,0,0,0,0,0,0,0
2389,1,0,0,0,0,0,0
2391,0,0,1,0,0,0,0
2393,6,6,0,0,0,0,0
2395,1,0,1,1,0,0,0
2397,1,0,1,1,0,0,0
2399,0,0,0,0,0,0,0
2401,1,1,0,1,0,0,0
2403,0,0,1,0,0,0,0
2405,0,0,0,0,0,0,0
2407,1,1,1,0,0,0,0
2409,1,1,0,1,0,0,0
2411,0,0,0,1,0,0,0
2413,0,0,4,4,0,0,0
2415,0,0,4,4,0,0,0
2417,0,0,0,0,0,0,0
2419,0,0,0,0,0,0,0
2421,0,0,1,0,0,0,0
2423,0,0,0,0,0,0,0
2425,0,0,0,0,0,0,0
2427,1,1,1,0,0,0,0
2429,0,0,0,0,0,0,0
2431,1,1,0,1,0,0,0
2433,1,1,1,0,0,0,0
2435,1,1,0,1,0,0,0
2437,1,1,0,1,0,0,0
2439,1,1,1,0,0,0,0
2441,1,1,1,0,0,0,0
2443,0,0,0,0,0,0,0
2445,1,1,0,1,0,0,0
2447,1,1,1,0,0,0,0
2449,1,0,1,0,0,0,0
2451,0,0,1,0,0,0,0
2453,0,0,1,0,0,0,0
2455,1,1,0,0,0,0,0
2457,1,0,1,1,0,0,0
2459,0,1,1,1,0,0,0
2461,1,1,0,1,0,0,0
2463,2,2,0,2,0,0,0
2465,0,4,0,0,0,0,0
2467,1,0,1,1,0,0,0
2469,4,1,1,0,0,0,0
2471,1,0,1,1,0,0,0
2473,0,0,0,0,0,0,0
2475,0,0,0,0,0,0,0
2477,1,1,1,0,0,0,0
2479,1,1,1,0,0,0,0
2481,1,1,1,0,0,0,0
2483,4,4,0,4,0,0,0
2485,0,0,0,1,0,0,0
2487,1,1,1,0,0,0,0
2489,0,1,0,1,0,0,0
2491,0,1,1,0,0,0,0
2493,0,0,1,0,0,0,0
2495,0,1,0,0,0,0,0
2497,1,0,1,1,0,0,0
2499,0,0,0,0,0,0,0
2501,4,4,0,4,0,0,0
2503,0,0,0,0,0,0,0
2505,1,1,1,0,0,0,0
2507,4,4,0,4,0,0,0
2509,0,0,1,0,0,0,0
2511,0,1,1,1,0,0,0
2513,1,1,0,1,0,0,0
2515,5,1,1,0,0,0,0
2517,1,0,1,1,0,0,0
2519,0,5,5,5,0,0,0
2521,0,1,1,1,0,0,0
2523,0,0,0,0,0,0,0
2525,0,0,1,0,0,0,0
2527,0,0,0,0,0,0,0
2529,1,1,1,0,0,0,0
2531,0,0,0,0,1,1,1
2533,1,1,1,0,0,0,0
2535,0,0,0,0,0,0,0
2537,1,1,0,1,0,0,0
2539,0,0,0,0,0,0,0
2541,0,0,0,1,1,1,0
2843,1,1,1,0,0,0,0
2845,1,0,1,1,0,0,0
2847,1,1,0,1,0,0,0
2849,1,0,0,0,0,0,0
2851,1,1,0,1,0,0,0
2853,1,1,0,1,0,0,0
2855,1,1,0,1,0,0,0
2857,0,0,0,0,0,0,0
2859,0,0,0,1,0,0,0
2861,0,1,1,1,0,0,0
2863,1,0,1,1,0,0,0
2865,0,0,0,0,0,0,0
2867,0,0,0,0,0,0,0
2869,1,1,0,1,0,0,0
2871,1,1,0,1,0,0,0
2873,0,1,1,1,0,0,0
2875,1,1,0,1,0,0,0
2877,1,1,0,1,0,0,0
2879,1,1,0,1,0,0,0
2881,1,1,0,1,0,0,0
2883,0,0,0,0,0,0,0
2885,1,0,1,1,0,0,0
2887,0,1,1,1,0,0,0
2889,0,1,0,0,0,0,0
2891,1,0,1,1,0,0,0
2893,1,1,0,1,0,0,0
2895,1,1,0,1,0,0,0
2897,1,1,0,1,0,0,0
2899,1,1,0,1,0,0,0
2901,8,8,0,1,0,0,0
2903,1,1,1,0,0,0,0
2905,1,1,0,1,0,0,0
2907,1,1,1,0,0,0,0
2909,1,0,1,1,0,0,0
2911,0,0,0,0,0,0,0
2913,1,1,0,1,0,0,0
2915,1,1,0,1,0,0,0
3123,1,1,1,0,0,0,0
3125,4,4,0,4,0,0,0
3127,0,0,0,0,0,0,0
3129,1,1,0,1,0,0,0
3131,0,0,0,0,0,0,0
3133,0,0,0,0,0,0,0
