JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3,Race 0 Bubble 4,Race 0 Bubble 5,Race 0 Bubble 6
1245,1,1,1,0,0,0,0
1247,1,1,1,0,0,0,0
1249,1,1,0,1,0,0,0
1251,1,1,0,1,0,0,0
1253,1,1,1,0,0,0,0
1255,0,1,1,0,0,0,0
1257,1,0,1,1,0,0,0
1259,0,1,1,0,0,0,0
1261,1,1,1,0,0,0,0
1263,1,1,0,1,0,0,0
1265,1,0,0,1,0,0,0
1267,1,1,0,1,0,0,0
1269,1,1,0,1,0,0,0
1271,1,1,0,1,0,0,0
1273,1,1,0,1,0,0,0
1275,1,0,0,1,0,0,0
1277,0,1,1,1,0,0,0
1279,0,1,1,1,0,0,0
1281,0,0,0,1,0,0,0
1283,1,1,1,0,0,0,0
1285,1,1,1,0,0,0,0
1287,1,1,1,0,0,0,0
1289,0,1,0,0,0,0,0
1291,1,1,0,1,0,0,0
1293,1,1,0,1,0,0,0
1295,1,1,1,0,0,0,0
1297,1,6,1,0,0,0,0
1299,4,4,4,0,0,0,0
1301,1,1,1,0,0,0,0
1303,0,4,4,4,0,0,0
1305,5,5,0,5,0,0,0
1307,1,1,1,0,0,0,0
1309,1,1,0,1,0,0,0
1311,1,1,1,0,0,0,0
1313,1,1,0,1,0,0,0
1315,1,1,0,1,0,0,0
1317,0,0,0,1,0,0,0
1319,0,1,0,0,0,0,0
1321,1,1,5,0,0,0,0
1323,1,1,0,1,0,0,0
1325,1,1,0,1,0,0,0
1327,1,5,1,0,0,0,0
1691,1,0,1,1,0,0,0
1693,1,0,1,1,0,0,0
1695,1,1,1,0,0,0,0
1697,1,1,1,0,0,0,0
1699,1,1,1,0,0,0,0
1701,0,0,1,1,0,0,0
1703,1,1,1,0,0,0,0
1705,1,1,1,0,0,0,0
1707,1,1,1,0,0,0,0
1709,1,1,0,1,0,0,0
1711,1,1,0,1,0,0,0
1713,1,1,0,1,0,0,0
1715,1,0,0,0,0,0,0
1717,1,1,1,0,0,0,0
1719,0,0,1,1,0,0,0
1721,1,1,1,0,0,0,0
1723,1,1,1,0,0,0,0
